vin,avg_battery,battery_std,min_battery,max_battery,total_records,avg_latitude,avg_longitude
MD9EMHDL23D217111,93.95,11.45,50.15,100.0,174,28.63,77.11
MD9EMHDL23D217135,94.54,8.0,65.24,100.0,157,28.47,77.05
MD9EMHDL23D217159,56.16,20.43,19.31,96.64,127,28.44,77.03
MD9EMHDL23D217168,81.75,15.96,67.79,100.0,165,28.62,77.11
MD9EMHDL23D217169,86.97,21.81,6.78,100.0,60,28.46,77.29
MD9EMHDL23D217179,68.68,23.96,43.35,100.0,134,28.48,77.06
MD9EMHDL23D217212,87.8,19.15,22.03,100.0,141,28.69,77.09
MD9EMHDL23D217217,73.19,20.01,37.88,100.0,147,17.4,78.58
MD9EMHDL23D217222,88.01,1.38,87.61,92.75,129,28.52,77.08
MD9EMHDL23D217236,98.86,2.88,78.53,100.0,166,28.66,77.1
MD9EMHDL23D217239,84.62,0.0,84.62,84.62,135,23.25,72.65
MD9EMHDL23D217267,69.68,0.09,69.56,69.87,27,13.03,77.55
MD9EMHDL23D217275,87.84,11.53,56.56,97.96,138,12.83,80.05
MD9EMHDL23D217278,80.81,26.61,5.27,100.0,146,28.54,77.26
MD9EMHDL23D217280,78.82,14.42,38.3,99.12,65,18.54,73.77
MD9EMHDL23D217288,85.74,17.88,27.99,100.0,152,12.91,80.19
MD9EMHDL23D217290,56.92,19.0,27.56,99.89,59,13.11,80.01
MD9EMHDL23D217297,62.52,23.32,31.26,98.49,126,12.94,77.62
MD9EMHDL23D217306,81.93,0.0,81.93,81.93,4,12.8,80.02
MD9EMHDL23D217308,3.52,0.18,3.22,3.85,99,12.84,80.05
MD9EMHDL23D217328,61.88,18.87,15.66,86.99,129,19.02,73.04
MD9EMHDL23D217335,98.38,0.02,98.38,98.45,106,12.82,79.91
MD9EMHDL23D217352,75.76,17.41,28.62,100.0,137,18.66,73.91
MD9EMHDL23D217353,49.47,23.15,33.87,97.67,192,17.43,78.49
MD9EMHDL23D217356,84.9,17.97,32.38,100.0,177,23.08,72.6
MD9EMHDL23D217366,80.14,25.55,9.72,100.0,147,28.54,77.26
MD9EMHDL23D217368,87.88,16.39,25.97,100.0,167,12.93,78.95
MD9EMHDL23D217372,93.41,11.03,64.24,99.88,145,13.14,80.27
MD9EMHDL23D217374,80.32,21.61,21.08,100.0,147,13.01,80.14
MD9EMHDL23D217377,97.33,0.0,97.33,97.33,4,28.51,77.32
MD9EMHDL23D217380,93.66,0.0,93.66,93.66,4,12.84,80.05
MD9EMHDL23D217383,68.64,16.09,34.64,91.67,152,12.89,77.63
MD9EMHDL23D217384,80.48,13.92,48.81,96.36,93,12.89,77.62
MD9EMHDL23D217392,99.04,0.0,99.04,99.04,103,28.28,77.3
MD9EMHDL23D217393,78.72,15.83,56.04,100.0,147,12.89,77.63
MD9EMHDL23D217394,85.9,22.01,6.47,100.0,184,28.3,77.3
MD9EMHDL23D217395,80.49,0.27,80.08,80.97,99,12.56,80.12
MD9EMHDL23D217399,83.42,15.25,36.54,98.39,151,1.68,0.02
MD9EMHDL23D217409,95.81,7.5,72.07,100.0,172,13.0,77.66
MD9EMHDL23D217414,75.9,23.38,7.19,100.0,168,12.78,77.79
MD9EMHDL23D217424,2.52,0.0,2.52,2.52,112,13.03,77.55
MD9EMHDL23E217003,76.29,20.57,34.65,100.0,150,12.84,79.95
MD9EMHDL23E217005,49.94,27.54,5.43,100.0,144,28.73,77.19
MD9EMHDL23E217030,71.54,19.8,40.76,96.96,192,28.44,77.3
MD9EMHDL23E217035,67.76,0.0,67.76,67.76,4,28.53,77.22
MD9EMHDL23E217044,81.5,23.86,13.07,100.0,142,28.73,77.17
MD9EMHDL23E217054,82.2,24.94,3.39,100.0,192,28.61,77.36
MD9EMHDL23E217061,76.27,19.8,40.85,98.75,116,18.62,73.8
MD9EMHDL23E217062,49.37,27.26,8.7,99.51,153,28.46,77.01
MD9EMHDL23E217068,100.0,0.0,100.0,100.0,144,17.49,78.41
MD9EMHDL23E217080,77.69,25.88,1.61,100.0,189,13.1,80.24
MD9EMHDL23E217087,65.85,19.95,31.02,96.64,149,19.22,73.16
MD9EMHDL23E217094,96.91,0.01,96.89,96.93,25,12.91,80.18
MD9EMHDL23F217001,80.74,17.82,39.74,100.0,132,28.5,77.3
MD9EMHDL23F217009,96.42,10.65,38.23,100.0,190,13.14,80.2
MD9EMHDL23F217022,71.01,15.23,50.35,100.0,137,12.97,77.52
MD9EMHDL23F217028,93.33,13.26,15.08,100.0,115,12.83,80.05
MD9EMHDL23F217029,77.7,26.39,15.24,100.0,136,19.26,72.96
MD9EMHDL23F217053,64.68,28.56,29.74,100.0,115,13.02,77.55
MD9EMHDL23F217055,82.04,20.23,29.17,100.0,81,13.04,80.14
MD9EMHDL23F217057,83.13,25.63,4.21,100.0,184,28.5,77.06
MD9EMHDL23F217069,78.35,21.11,38.89,100.0,163,28.49,77.01
MD9EMHDL23F217085,83.81,20.17,27.68,100.0,152,23.08,72.55
MD9EMHDL23F217087,70.23,32.06,23.73,90.81,6,24.95,74.02
MD9EMHDL23F217097,100.0,0.0,100.0,100.0,191,28.82,77.12
